id,legalName,openingHours,telephone,email,url,sports,location
1,Velodromo di Mori,,,,,[17],576.0
2,Centro Sportivo,,,,,[58],
3,Campo Don G. B. Giacomelli,,,,,[12],578.0
4,Circolo Tennis Lungo Leno,,,,,[97],579.0
5,,,,,,[12],580.0
6,Palestra Romarzollo,,,,,[65],581.0
5,,,,,,[97],1422.0
7,Happy Ranch,,,,,[109],583.0
8,Bocciodromo,,,,,[110],584.0
9,"Centro Sportivo ""Guido Manazzon""",,,,,"[58, 47, 60]",585.0
5,,,,,,[60],586.0
10,Centro Sportivo Trento Nord,,,,,"[60, 31, 58, 12, 65, 78]",587.0
5,,,,,,[60],588.0
5,,,,,,[12],589.0
5,,,,,,[12],647.0
5,,,,,,[8],591.0
5,,,,,,[8],592.0
11,Ata Cesare Battisti,,,,,[97],591.0
5,,,,,,[12],591.0
5,,,,,,[111],593.0
12,Skatepark Trento,,,,,[112],594.0
13,Campo Calcio Talamo,,,,,[12],595.0
14,Campo calcio Trentinello,,,,,[12],596.0
15,Campo Calcio Orione,,,,,[12],597.0
16,"Campo atletica CONI ""Covi-Postal""",,,,,[122],598.0
17,"Campo ""Carlo Prada""",,,,,[12],599.0
5,,,,,,[12],600.0
5,,,,,,[12],816.0
5,,,,,,[12],602.0
5,,,,,,[12],603.0
18,Campo Sintetico,,,,,[12],604.0
5,,,,,,[12],605.0
5,,,,,,[12],606.0
19,Centro sportivo Vela,,,,,"[60, 65, 98, 30]",607.0
20,PalaBocchi,,,,https://www.asis.trento.it/it/impianti/centro-sportivo-f-lli-bocchi_9373_s/,"[60, 65]",608.0
5,,,,,,[12],609.0
5,,,,,,[12],610.0
5,,,,,,[60],611.0
5,,,,,,[12],612.0
21,Mille pini,,,,,[12],613.0
5,,,,,,[12],614.0
5,,,,,,[60],679.0
5,,,,,,[60],615.0
22,Campo Calcio Ravina,,,,,[12],616.0
5,,,,,,[97],612.0
23,Campo Naturale,,,,,[12],618.0
5,,,,,,[12],619.0
5,,,,,,[58],620.0
5,,,,,,[112],621.0
5,,,,,,[97],622.0
24,campo sportivo Isera,,,,,[12],623.0
5,,,,,,[12],624.0
5,,,,,,[12],
5,,,,,,[12],626.0
5,,,,,,[60],626.0
5,,,,,,[97],626.0
5,,,,,,[12],627.0
5,,,,,,[12],621.0
5,,,,,,[12],628.0
5,,,,,,[12],629.0
5,,,,,,[113],630.0
5,,,,,,[60],631.0
25,Campo oratorio,,,,,[12],632.0
5,,,,,,[114],633.0
26,Campo da Calcio di Daiano,,,,,[12],634.0
27,Circolo Tennis Arco,,,,,[97],635.0
28,Campo Rugby,,,,,[75],636.0
29,Campo delle Fucine,,,,,[12],637.0
30,Tovre,,,,,[115],638.0
31,"Centro Sportivo ""Ito del Favero""",,,,,"[58, 31, 47]",639.0
5,,,,,,[60],640.0
32,PalaFolgaria,,+39 0464 720277,,,[116],641.0
5,,,,,,[97],642.0
5,,,,,,[12],643.0
5,,,,,,[31],644.0
33,Circolo Ippico La Roccia,,,,,[109],645.0
34,Campo Polifunzionale,,,,,[97],646.0
5,,,,,,[117],647.0
35,Centro Sportivo Trilacum,,,,,[12],
5,,,,,,[12],649.0
5,,,,,,[12],650.0
5,,,,,,[97],651.0
5,,,,,,[12],652.0
5,,,,,,[97],652.0
5,,,,,,[12],653.0
36,Campo Calcetto,,,,,[12],654.0
37,Circolo Tennis Trento,,,,,[97],655.0
5,,,,,,[12],656.0
8,Bocciodromo,,,,,[118],657.0
5,,,,,,[12],658.0
5,,,,,,[12],659.0
38,"Campo ""Mirko Bonetti""",,,,http://www.solterisangiorgio.it/,[12],660.0
39,Campetto della Chiesa,,,,,[12],661.0
5,,,,,,[12],662.0
5,,,,,,[109],663.0
5,,,,,,[12],664.0
40,Campetto Sintetico,,,,,[12],665.0
5,,,,,,[12],666.0
41,Pista motocross,,,,,[119],667.0
5,,,,,,[12],668.0
5,,,,,,[12],669.0
5,,,,,,[12],670.0
5,,,,,,[109],671.0
5,,,,,,[12],672.0
5,,,,,,[12],673.0
5,,,,,,[12],673.0
42,Campo dell'Oratorio,,,,,[12],674.0
43,Campo da calcio,,,,,[12],675.0
5,,,,,,[97],676.0
44,Pra delle Moneghe,,,,,[12],677.0
45,Centro polivalente di Darzo Carlo Maffei,,,,,[4],678.0
46,Skatepark Villa,,,,,[112],679.0
5,,,,,,[120],679.0
5,,,,,,[97],680.0
5,,,,,,[12],681.0
47,Circolo Tennis Torbole,,,,,[97],682.0
5,,,,,,[97],683.0
5,,,,,,[121],684.0
5,,,,,,[12],685.0
5,,,,,,[12],686.0
48,Chizzola,,,,,[12],687.0
5,,,,,,[12],688.0
5,,,,,,[12],689.0
5,,,,,,[97],690.0
49,Intecomunale Nomi Calliano,,,,,[12],691.0
5,,,,,,[110],690.0
5,,,,,,[12],690.0
5,,,,,,[12],692.0
5,,,,,,[12],692.0
5,,,,,,[12],693.0
5,,,,,,[12],693.0
5,,,,,,[60],694.0
5,,,,,,[12],695.0
5,,,,,,[121],696.0
5,,,,,,[113],697.0
50,Centro Sportivo Intercomunale Mezzano,,,,,"[12, None]",698.0
5,,,,,,[12],698.0
5,,,,,,[118],699.0
51,Tennis,,,,,[97],700.0
5,,,,,,[12],701.0
5,,,,,,[97],701.0
52,Rene,,,,,[97],702.0
5,,,,,,[60],703.0
5,,,,,,[97],704.0
5,,,,,,[118],705.0
5,,,,,,[97],705.0
5,,,,,,[12],706.0
5,,,,,,[97],705.0
5,,,,,,[12],707.0
53,Campo Sportivo Cerfenal,,,,,[12],708.0
5,,,,,,[12],709.0
5,,,,,,[12],710.0
5,,,,,,[60],711.0
54,Campo da calcio di Transacqua,,,,,[12],712.0
5,,,,,,[60],713.0
5,,,,,,[97],714.0
5,,,,,,"[123, 112, 124, 17]",715.0
5,,,,,,[41],610.0
5,,,,,,[12],716.0
5,,,,,,[97],717.0
5,,,,,,[97],718.0
55,Centro Sportivo Darzo Carlo Maffei,,,,,[12],719.0
5,,,,,,[97],720.0
8,Bocciodromo,,,,,[110],721.0
5,,,,,,[97],722.0
5,,,,,,[60],723.0
5,,,,,,[12],724.0
5,,,,,,[97],725.0
5,,,,,,[60],726.0
5,,,,,,[12],725.0
5,,,,,,[120],727.0
43,Campo da calcio,,,,,[12],728.0
5,,,,,,[12],729.0
56,Centro Sportivo Guaita,,,,,[12],730.0
57,campo calcio 2,,,,,[12],731.0
5,,,,,,[60],726.0
5,,,,,,[114],726.0
5,,,,,,[12],732.0
5,,,,,,"[12, 97]",733.0
5,,,,,,[118],733.0
5,,,,,,[97],734.0
5,,,,,,[97],735.0
5,,,,,,[12],736.0
5,,,,,,[12],737.0
5,,,,,,[97],738.0
5,,,,,,[97],739.0
5,,,,,,[12],740.0
5,,,,,,[12],741.0
58,Campo sportivo Pineta,,,,,[12],742.0
59,Campo sportivo Cereghini,,,,,[12],742.0
5,,,,,,[120],743.0
5,,,,,,[12],744.0
5,,,,,,[12],745.0
5,,,,,,[12],746.0
5,,,,,,[12],746.0
5,,,,,,[12],745.0
5,,,,,,[60],747.0
60,Polsa Tennis Camp,,,,,[97],748.0
61,Palagarda,,,,,[60],749.0
5,,,,,,[60],750.0
5,,,,,,[12],751.0
5,,,,,,[12],752.0
5,,,,,,[97],1552.0
5,,,,,,[97],1552.0
5,,,,,,[97],1552.0
5,,,,,,[97],752.0
62,Circolo Tennis Villa Lagarina,,,,,[97],754.0
5,,,,,,[12],580.0
63,Campo da tennis,,,,,[97],755.0
5,,,,,,[97],756.0
5,,,,,,[60],757.0
5,,,,,,[121],758.0
5,,,,,,[12],759.0
5,,,,,,[12],760.0
5,,,,,,[12],761.0
5,,,,,,[97],630.0
5,,,,,,[97],630.0
5,,,,,,[12],762.0
5,,,,,,[12],630.0
5,,,,,,[125],763.0
5,,,,,,[121],764.0
5,,,,,,[12],765.0
5,,,,,,[126],766.0
5,,,,,,[110],630.0
5,,,,,,[12],767.0
5,,,,,,[12],768.0
5,,,,,,[65],767.0
5,,,,,,[97],767.0
5,,,,,,[97],630.0
5,,,,,,[60],769.0
5,,,,,,[60],770.0
5,,,,,,[60],746.0
5,,,,,,[12],771.0
5,,,,,,[12],772.0
5,,,,,,[12],773.0
5,,,,,,[12],774.0
5,,,,,,[97],775.0
5,,,,,,[12],775.0
5,,,,,,[12],776.0
5,,,,,,[12],777.0
5,,,,,,[60],778.0
5,,,,,,[12],778.0
64,Campo da Tamburello,,,,,[97],779.0
5,,,,,,[12],780.0
5,,,,,,[12],781.0
5,,,,,,[65],782.0
5,,,,,,[12],783.0
5,,,,,,[12],783.0
5,,,,,,[60],784.0
5,,,,,,[12],785.0
5,,,,,,[120],786.0
5,,,,,,[98],787.0
5,,,,,,[120],787.0
5,,,,,,[12],788.0
5,,,,,,[65],788.0
5,,,,,,[12],789.0
65,Palestra Comunale,,,,,[65],790.0
5,,,,,,[12],791.0
