id,name,lit,surface
5,Palestra Romarzollo,,
11,Centro Sportivo Trento Nord,,
33,Centro sportivo Vela,,
34,PalaBocchi,,
110,,,concrete
168,,,
188,,,
224,,,
243,,,asphalt
248,,,
250,,,
252,,,
254,Palestra Comunale,,
258,,False,
282,,,
292,,False,artificial_turf
306,,False,
307,Centro Polifunzionale,,
365,,,
400,,,
482,,,
527,,,
552,,True,clay
554,,,
561,,,
582,,,
584,,,
607,,,
611,,,
625,,,
628,,,
646,,,
647,,,
649,,,
663,,,
683,,,
698,,,
728,Cortile Grumes,,
735,,,
736,,,
740,,,artificial_turf
751,,,
761,,,
762,,,
768,,,
780,,,
793,,,
795,,,
843,,,
882,,,
885,,,
890,,,
895,,,
926,,,
929,,,
930,,,
948,,,
957,,False,sett
969,Campo da Pallavolo,False,asphalt
975,,,
979,,,
982,,,
992,,False,sand
996,,,
1002,,False,asphalt
1006,,,
1013,,False,artificial_turf
1023,,True,artificial_turf
1032,,,
1037,,,
1043,,,
1044,,,asphalt
1049,,False,grass
1051,,,
1063,,,
1077,,,
1083,,False,
1087,,,
1091,,,
1107,,,
1109,Campo da beach,,
1110,,False,asphalt
1127,,,concrete
1131,,True,artificial_turf
1133,,,
1142,,,
1144,,,
1161,,,
1162,,,
1164,,,
1171,,,
1178,,,
1189,,,
1192,,,
1193,,True,clay
1199,,,artificial_turf
1209,Campo polivalente,,acrylic
1214,,,asphalt
1217,,,
1226,,,
1234,,,artificial_turf
1239,,,
1244,,,
1265,,,
1274,,True,artificial_turf
1290,,,
1293,,,
1294,,,
1295,,False,sand
1312,,,
1314,,,
1322,,,
1331,,True,clay
1345,,,
1347,,,
1350,,,
1353,,,
1365,,,
1366,,,
1373,,,
1386,,,
1398,,,
1399,,,
1400,,,
1404,,,artificial_turf
1414,,,
1434,,,
1438,,False,grass
1440,,,artificial_turf
1446,,,artificial_turf
1447,,,artificial_turf
1448,,True,sand
1454,,,
1474,,,
1494,,,
1526,,,
1550,,,
1637,,,grass
1645,Palazzetto dello sport Sanbàpolis,,
1656,,,
3228,Campo Pallavolo-Calcetto San Colombano,,
3264,Campo Pallavolo-Calcetto San Colombano,,
4423,Campo Pallavolo-Calcetto San Colombano,,
13644,Campo Pallavolo-Calcetto San Colombano,,
14701,Campo Pallavolo-Calcetto San Colombano,,
