Titolo;"Titolo breve";Immagine;Descrizione;"Locandina dell'evento";Inizio;Termine;Durata;Quando;Dove;Informazioni;Destinatari;Costi;Stato;Materia;Circoscrizione;Argomento;"Tipologia evento";"Manifestazione cui fa parte";Associazione;Progressivo;Sottotitolo;Orario;"Posizione geografica";Fonte
"Sottosopra: workshop a Mezzocorona";;var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/sottosopra-workshop-a-mezzocorona/23216-2-ita-IT/Sottosopra-workshop-a-Mezzocorona.png|;"Sottosopra: workshop a Mezzocorona del Laboratorio di architettura e antropologia (LAA) della scuola nazionale superiore d'architettura di Parigi &quot,la Villette&quot, e del CNR FranceseUn gruppo di&nbsp,ricercatori del Post-master recherches en architecture antropologie (-Ecole Nationale superieure d'architecture de Paris &quot,La Villette&quot,) lavoreranno a Mezzocorona presso il Centro Firmian (piazza della Chiesa) a porte aperte per studiare il territorio di Mezzocorona in particolare nei suoi rapporti pianura-monte.&nbsp,Sono previsti due appuntamenti pubblici il 28 aprile alle 20.30 e il 2 maggio alle 18.00.Si rimanda all'allegata locandina e in particolare all'allegato articolo per saperne di più.L'iniziativa è svolta in collaborazione con il Comune di Mezzocorona, la cassa rurale di Mezzocorona, La Pro Loco di Mezzocorona,&nbsp,la SAT sezione di Mezzocorona, &nbsp,Il Gruppo arte Mezzocorona,";www.comune.mezzocorona.tn.it/content/download/2588/23218/11069685_1744382519121553_4814920289364822891_n_imagelarge.jpg;24/04/2015;02/05/2015;;"da Venerdì, 24 Aprile 2015 a Sabato, 02 Maggio 2015";"Mezzocorona centro Firmian";;;;;;;;Manifestazione;;;;;Vari;"1|#46.215344|#11.119918|#Mezzocorona centro Firmian";
"Mostra di plastici ferroviari a Mezzocorona";;var/mezzocorona/storage/images/territorio/eventi-e-manifestazioni2/mostra-di-plastici-ferroviari-a-mezzocorona/23266-1-ita-IT/Mostra-di-plastici-ferroviari-a-Mezzocorona.jpg|;"Mostra plastici ferroviari, trenini in movimento: esposizione&nbsp,plastico&nbsp,e&nbsp,mostra scambio&nbsp,organizzata dalla nuova&nbsp,Associazione Ferramatori Trentino Alto Adige.";;02/05/2015;03/05/2015;;"da Sabato, 02 Maggio 2015 a Domenica, 03 Maggio 2015";"Ex caserma Vigili del Fuoco - Piazza della Chiesa, 13 Mezzocorona (TN)";;;;;;;;"Evento singolo";;"Associazione Ferramatori Trentino Alto Adige";;;"10.00 - 18.00";"1|#46.216788|#11.119245|#Piazza della Chiesa, 13 Mezzocorona (TN)";
"Mezzocorona Expo' 2015";;var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/mezzocorona-expo-2015/23364-1-ita-IT/Mezzocorona-Expo-2015.jpg|;"Come ogni annoi gli Operatori economici ed artigiani di Mezzocorona organizzano la fiera campionaria e commerciale Mezzocorona EXPO' 2015 presso la cittadella del Vino (Cantine Mezzacorona Rotari)Al seguente link si può trovare il programma dettagliato&nbsp,www.mezzocoronaexpo.com  Si specifica che per la decima volta la biblioteca sarà a Mezzocorona Expo’ 2015 con lo stand&nbsp, “BIBLIOTECALL’ARIA” La biblioteca di Mezzocorona ha partecipato&nbsp, a Mezzocorona Expo nelle edizioni 2001, 2002, 2003, 2008, 2009, 2010, 2012, 2013, 2014 e parteciperà per la decima volta nel 2015, considerando questa uscita fuori dalle proprie mura in un ambito non culturale bensì commerciale-espositivo molto importante per farsi conoscere a persone che non sono ancora utenti della nostra biblioteca.";;29/05/2015;31/05/2015;;"da Venerdì, 29 Maggio 2015 a Domenica, 31 Maggio 2015";"Cantine Rotari, a Mezzocorona in via del Teroldego 1";;;;;;;;Manifestazione;;;;;;"1|#46.207449|#11.127806|#Mezzocorona via del Teroldego 1";
"Incontro con l'autore Lamberto Aroli";"Incontro con l'autore Lamberto Aroli";var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/incontro-con-l-autore-lamberto-aroli/58650-1-ita-IT/Incontro-con-l-autore-Lamberto-Aroli.jpg|;"La biblioteca organizza l’incontro con Lamberto Aroliautore del libro “La culla di pietra”(edizioni Caosfera-collana Riflessioni) &nbsp,in biblioteca – mercoledi’ 27 maggio 2015 ore 20.30&nbsp,Lo scrittore di Mezzolombardo dà vita aduna storia ricca di amore e misterosullo sfondo della tragediadel terremoto del Friuli del 1976.";;27/05/2015;27/05/2015;;"h. 20.30";"Biblioteca di Mezzocorona";;;;;;;;"Evento singolo";;;;;;;
"Solstizio d'Estate 2015: Mio figlio era come un padre per me   Fratelli Dalla Via, Piccionaia, Bassano Opera Festival   Teatro";"Solstizio d'Estate 2015: Mio figlio era come un padre per me   Teatro";"var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/solstizio-d-estate-2015-mio-figlio-era-come-un-padre-per-me-teatro/58675-11-ita-IT/Solstizio-d-Estate-2015-Mio-figlio-era-come-un-padre-per-me-Teatro.jpg|Mio figlio era come un padre per me   Fratelli Dalla Via, Piccionaia, Bassano Opera Festival   Teatro";"Nell'ambito della rassegna &quot,Solstizio d'Estate 2015&quot, giunta alla sua 25° edizione il Gruppo Arte Mezzocorona organizza l'evento:&quot,Mio figlio era come un padre per me&quot, &nbsp, Fratelli Dalla Via, Piccionaia, Bassano Opera Festival &nbsp,&nbsp,“La prima generazione ha lavorato. La seconda ha risparmiato. La terza ha sfondato. Poi noi.”Racconto di ordinaria abulia, quella che viene dopo il boom, con i fallimenti, i crack, i suicidi.E’ la storia della crisi, non solo generazionale, della generazione dello spritz, dei figli che staranno peggio de genitori, ma anche geografica, dell’illuso Nord Est, oggi fossilizzato, impossibilitato a reinventarsi. Sul palco i fratelli Dalla Via tessono due destini metaforici: l’autodistruzione del filosofo dello spritz che invita gli operai cassintegrati all’happy hour, e la staticità, personaggio al femminile, che vede nella dieta ferrea la più rosea prospettiva. Sono i destini di quella generazione per la quale il traguardo è diventato una barriera, sulla quale la crisi ha rovesciato lo specchio del benessere. I protagonisti sono simbolo di una popolazione intera che soffre di ansia da prestazione, condannata alla competizione.Vincitore del premio Scenario 2013, per l’ironia raggelante con cui affronta la tragica questione del suicidio, come scelta estrema compiuta da innumerevoli imprenditori. Per il suo essere una parabola generazionale, di una borghesia chiusa in se stessa, nascosta dietro un televisore, inebetita da un social network. È la presa di coscienza del fallimento dei nostri padri, che non hanno saputo prevenire, né curare la piaga del suicidio, che in questo spettacolo diventa abbandono e fuga, e il nulla lasciato ai figli. Un nulla che sa di trucioli di legno, di bile e polenta, di certezze scardinate e autodistruzione.Di e con Marta Dalla Via, Diego Dalla ViaDirezione tecnica Roberto Di FrescoPartitura fisica Annalisa Ferlini  &nbsp,    &nbsp,    &nbsp,    ingresso € 7,00gratuito under 21    &nbsp,    A Mezzocorona presso Vender legnami srl accesso da via Tonale  ";;07/06/2015;07/06/2015;;"7 giugno 2015 ore 21.30";"A	Mezzocorona presso Vender legnami srl accesso da via Tonale";;;;;;;;Manifestazione;;;;;;;
"Solstizio d'Estate 2015 : Racconti d’estate   Di e con Ascanio Celestini   Teatro";"Solstizio d'Estate 2015 : Racconti d’estate   Di e con Ascanio Celestini   Teatro";var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/solstizio-d-estate-2015-racconti-d-estate-di-e-con-ascanio-celestini-teatro/58700-1-ita-IT/Solstizio-d-Estate-2015-Racconti-d-estate-Di-e-con-Ascanio-Celestini-Teatro.jpg|;"Nell'ambito della rassegna &quot,Solstizio d'Estate 2015&quot, giunta alla sua 25° edizione il Gruppo Arte Mezzocorona organizza l'evento: Racconti d'estate di e con Ascanio Celestini&quot,Poco importa se si ride, e tanto, con i suoi apologhi: quel che rimane, poi, usciti dal teatro è un’amara consapevolezza”Fiabe, per adulti che volevano essere bambini cattivi. Racconti, ironici, caustici, ispirati da alcuni dai racconti in “Io cammino in fila indiana”, pescati da quelli aggiunti nella versione francese, scritti per la messa in scena. E’ questo il baule delle meraviglie, dal quale Celestini pesca per raccontare e improvvisare un puzzle sentimentale, emotivo, politico. L’attore sale sul palco raccontando situazioni quotidiane e contemporanee che richiamano le barzellette che si raccontavano da bambini.Ma a differenza delle storielle in queste c’è qualcosa che si inceppa: la situazione che dovrebbe far sganasciare colpisce in modo diverso, quando ci si rende conto che la barzelletta, non è altro che la realtà. La politica e la società italiane in un monologo accompagnato da un microfono e poche luci. Il posto e il clima in sala determinano la scaletta, i “Racconti d’estate” mutano, cambiano pelle rivelandosi sempre una prima visione. La voce registrata di un notabile della politica, un jingle in sottofondo: gli escamotage stilistici possono interrompere il flusso delle parole, ma alla fine quello che si fa, sul palco e nella platea, è uno degli esercizi più naturali dell’essere umano: vedere le immagini evocate dalle parole altrui, generate nella propria testa.Così funzionano le storie. Queste fanno ridere, e arrabbiare, ma sempre col dubbio, che per scoprire la causa del riso e della rabbia non ci sia soluzione migliore che guardarsi allo specchio.&nbsp,Suono e luci: Andrea PesceProduzione: Fabbrica srl – Sara SeveroniDistribuzione e organizzazione: Ass. Lucciola – Paolo Gorietti e Marianna Pezzini  Data 12/06/2015    Ore    21.30    Costo    ingresso € 12,00gratuito under 21    Luogo    Mezzocorona, Piazza della cooperazioneIn caso di pioggia: Palarotari  www.solstiziodestate.it";;12/06/2015;12/06/2015;;12.6.2015;"Mezzocorona, Piazza della cooperazioneIn caso di pioggia: Palarotari";;;;;;;;Manifestazione;;;;;;;
"Solstizio d'Estate 2015 SEMI DI FUTURO – GIARDINAGGIO PLANETARIO   Di e con Lorenza Zambon   Teatro";"Solstizio d'Estate 2015:  SEMI DI FUTURO – GIARDINAGGIO PLANETARIO   Di e con Lorenza Zambon   ";var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/solstizio-d-estate-2015-semi-di-futuro-giardinaggio-planetario-di-e-con-lorenza-zambon/58725-1-ita-IT/Solstizio-d-Estate-2015-SEMI-DI-FUTURO-GIARDINAGGIO-PLANETARIO-Di-e-con-Lorenza-Zambon.jpg|;"Nell'ambito della rassegna &quot,Solstizio d'Estate 2015&quot, giunta alla sua 25° edizione il Gruppo Arte Mezzocorona organizza l'evento: &quot,SEMI DI FUTURO – GIARDINAGGIO PLANETARIO&quot, &nbsp, di e con Lorenza Zambon&nbsp,Il giardiniere è stanziale, l’attore è nomade. Lorenza Zambon è l’una e l’altro.”Da anni Lorenza Zambon raccoglie storie, di natura, di giardini, di semi. Dagli incontri fa germogliare storie che porta in scena non su un palco, ma fra prati e piante, con le mani sporche di terra e la voce impastata di passione. Le lezioni sono prima di tutto quelle imparate dall’artista nel tempo, con piccoli e grandi esperimenti personali di giardinaggio e di vita, a volte riusciti e a volte no. E’ il giardino che coltiva il giardiniere, non il contrario.Lezioni di consapevolezza e libertà, dagli OGM e dalle barriere sociali, in cui i semi si trasformano in astronavi che viaggiano nello spazio e nel tempo, di casa in casa, di giardino in balcone dando vita a nuovi paesaggi. I maestri sono giardinieri insospettabili, privi di potere ma pieni di potenza, come quella giovane americana che ha creato una fattoria sotto un grattacielo, chi abbatte un garage per farne un giardino, o quella grande donna indiana che lotta per i semi del futuro. Tutti possono farsi complici dei semi liberi: Lorenza Zambon fornisce istruzioni per orti metropolitani e da passeggio.Perché la terra, le piante, i semi non cessano mai di riservare sorprese, tracciando ogni giorno strade nuove in cui sguardi e passi continuano a cambiare.Teatro  data:    14/06/2015    ora:    16.00    costo:    ingresso gratuito    luogo:    Monte di Mezzocorona. Accesso dalla funivia e dal sentiero SAT 500, da Piazza della Chiesa    data    14/06/2015    ora    16.00    costi    ingresso gratuito    Luogo    Monte di Mezzocorona. Accesso dalla funivia e dal sentiero SAT 500, da Piazza della Chiesa  Lo spettacolo si svolgerà nella natura. Il pubblico si siederà sul prato, ed è quindi invitato a munirsi di coperta.";;14/06/2015;;;14.6.2015;"Monte di Mezzocorona. Accesso dalla funivia e dal sentiero SAT 500, da Piazza della Chiesa";;;;;;;;Manifestazione;;;;;;;
"Solstizio d'estate 2015: Polvere – dialogo tra uomo e donna   Di Saverio La Ruina   Teatro";"Solstizio d'estate 2015: Polvere – dialogo tra uomo e donna   Di Saverio La Ruina   Teatro";var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/solstizio-d-estate-2015-polvere-dialogo-tra-uomo-e-donna-di-saverio-la-ruina-teatro/58750-1-ita-IT/Solstizio-d-estate-2015-Polvere-dialogo-tra-uomo-e-donna-Di-Saverio-La-Ruina-Teatro.jpg|;"Nell'ambito della rassegna &quot,Solstizio d'Estate 2015&quot, giunta alla sua 25° edizione il Gruppo Arte Mezzocorona organizza l'evento:&quot,Polvere – dialogo tra uomo e donna&quot, &nbsp, Di Saverio La Ruina &nbsp,&nbsp,“Ma la violenza non arriva al suo compimento, il femminicidio, che pure qui virtualmente si consuma, non è un delitto su di un corpo, ma su di un sentimento, su di un’emozione. Da vedere”Una storia di malamore, di quello che umilia e colpisce, che annulla. Storie di donne gettate nei fossi, abbandonate nei campi, rinchiuse nei sacchi di plastica, raccontate attraverso quello che succede prima. La Ruina analizza e interpreta il fenomeno del mostro, anziché raccontare una donna esplora l’universo maschile e violento. Eppure una donna sul palco insieme a lui c’è: Jo Lattari, che interpreta con finezza la vittima sempre più consapevole di una storia senza amore. Più che un dialogo, come suggerisce il sottotitolo, è un vero e proprio match fra uomo e donna, attraverso cui si studiano le opache avvisaglie, i sintomi della malattia violenta che verrà. Il disprezzo e gli sgarbi che inscenano la violenza dello scherno e dell’insulto sussurrato, prima di quella delle botte e dell’omicidio. “Polvere” è la sporcizia sollevata pian piano attorno e sul corpo della donna, da un maschio insicuro e feroce interpretato da La Ruina, con lucidità estrema e forte impatto scenico. Tocca a lui dare vita a un’escalation di violenza emotiva anche grazie a un’interpretazione che si fa via via più secca, frutto di un lavoro preparatorio lungo e complesso.Uno spettacolo che nasce da interviste, incontri e testimonianze, da una realtà in cui è facile trovare qualche frammento della vita di ognuno. Polvere, senza filtro, in prima regionale.Con Saverio La Ruina, Jo LattariMusiche originali Gianfranco De FrancoContributo alla drammaturgia Jo LattariProduzione Scena VerticaleTeatro  data    17/06/2015    ora    21.30    costi:    ingresso € 7,00gratuito under 21    luogo    Mezzocorona Casa Menestrina Via S.Antonio 1.In caso di pioggia: Teatro S.Gottardo via San G.Bosco  ";;17/06/2015;;;17.6.2015;"Mezzocorona Casa Menestrina Via S.Antonio 1.In caso di pioggia: Teatro S.Gottardo via San G.Bosco";;;;;;;;Manifestazione;;;;;;;
"Solstizio d'estate 2015: L’uomo che raccoglieva le bottiglie   Di e con Pino Petruzzelli   Teatro";"Solstizio d'estate 2015: L’uomo che raccoglieva le bottiglie   Di e con Pino Petruzzelli   ";var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni2/archivio-eventi/solstizio-d-estate-2015-l-uomo-che-raccoglieva-le-bottiglie-di-e-con-pino-petruzzelli/58800-1-ita-IT/Solstizio-d-estate-2015-L-uomo-che-raccoglieva-le-bottiglie-Di-e-con-Pino-Petruzzelli.jpg|;"Nell'ambito della rassegna Solstizio d'estate 2015, giunta alla sua 25° edizione, il Gruppo Arte Mezzocorona organizza l'evento:&quot,L’uomo che raccoglieva le bottiglie &nbsp, Di e con Pino Petruzzelli&quot, &nbsp,&nbsp,Uno spettacolo dedicato ad Andrej Tarkovskij“In silenzio venne calata a terra la rete. In mezzo ai pesci che ancora si muovevano, c’era il corpo di quel poveretto. A mala pena si capì che era appartenuto a dun africano. Chissà da quanti giorni era in mare.”Pasquale, raccoglie bottiglie per tenere pulito il suo mare. Sulla spiaggia c’è un albero secco. Ogni giorno Pasquale vi porta acqua. L’acqua che dona vita. Pasquale è la bellezza di un mondo ancora vivo. Pasquale è anche un grazie al pensiero di Andrej Tarkovski. Pino Petruzzelli porta in scena la vita e la storia di un maestro d’ascia di Lampedusa, che in apparente fuga dal mondo persegue una logica coerente: sceglie da solo le regole del gioco, in direzione ostinata e contraria. Con le bottiglie di vetro abbandonate sulla spiaggia, Pasquale costruisce la propria casa, con i morti dei “viaggi della speranza” cerca di trovare l’appiglio, il “perché” della vita. Attraverso Pasquale, Petruzzelli va alla ricerca dei lembi di una storia spezzata, per provare a ricucirli, ed a raccontare un’Italia, in apparenza sepolta, in realtà ancora vitale.Pasquale, pur con le sue imperfezioni e contraddizioni, riesce ad esprimere una speranza radicata in un passato fatto di fatica e sopravvivenza e proiettata in un futuro di civiltà e convivenza.La parola di Pasquale è quella di un’Italia che ancora resiste, lavora e produce, seppur nel silenzio in cui è stata relegata dall’arroganza di massa.Pasquale è la bellezza di un mondo ancora vivo che palpita e pulsa sotto la cenere.Testo, regia, elemento scenico e interpretazione Pino Petruzzelli.MusicheVoce narrante Paola PiacentiniLuci e suono Francesco ZielloProduttore esecutivo Centro Teatro Ipotesi  data:    21/06/2015    ore:    21.30dalle ore 19.30 Degustazione vini locali accompagnata da piccola gastronomia    costo:    ingresso € 7,00gratuito under 21    Luogo:    Mezzocorona Casa MenestrinaIn caso di pioggia: Teatro S.Gottardo  www.solstiziodestate.it";;21/06/2015;;;"21 giugno 2015";"Mezzocorona Casa MenestrinaIn caso di pioggia: Teatro S.Gottardo";;;;;;;;Manifestazione;;;;;;;
"Solstizio d'Estate 2015: LESSICO DI HIROSHIMA – PER VOCE NARRANTE E PIANOFORTE   Di e con Paolo Miorandi   Teatro e musica";"Solstizio d'Estate 2015: LESSICO DI HIROSHIMA – PER VOCE NARRANTE E PIANOFORTE";var/mezzocorona/storage/images/aree-tematiche/biblioteca-e-cultura/eventi-e-manifestazioni/solstizio-d-estate-2015-lessico-di-hiroshima-per-voce-narrante-e-pianoforte/58825-1-ita-IT/Solstizio-d-Estate-2015-LESSICO-DI-HIROSHIMA-PER-VOCE-NARRANTE-E-PIANOFORTE.jpg|;"Nell'ambito della rassegna Solstizio d'Estate 2015 giunta alla sua 25° edizione il Gruppo Arte Mezzocorona organizza lo spettacolo: LESSICO DI HIROSHIMA – PER VOCE NARRANTE E PIANOFORTE&nbsp,&nbsp,Di e con Paolo Miorandi“L’uomo ha inventato la bomba atomica, ma nessun topo al mondo costruirebbe una trappola per topi”La catastrofe atomica che si abbatté su Hiroshima e Nagasaki ha inaugurato un nuovo modo di pensare la guerra. Mai prima di allora l’uomo era stato capace di liberare una tale potenza distruttiva, al punto da lasciare senza parole sia le vittime che i carnefici.A settant’anni da quell’estate del ‘45, Lessico di Hiroshima punta il faro della memoria su quella ferita aperta, indagando come questa abbia modificato la prospettiva da cui l’uomo guarda la propria esistenza. Ad alzare il velo dei decenni, Paolo Miorandi, che evoca il fantasma di Hiroshima come evento e come dolente metafora della capacità dell’uomo di perseguire il male. Frammenti, reperti, di un mondo che l’esplosione atomica ha cancellato dalla faccia della Terra, che diventano voci, lessico, in un’oscurità fluttuante e silenziosa, come quella calata sulle macerie delle città dopo l’esplosione.Nel vuoto si rappresenta l’orrore, si tenta di dare ad esso una forma immaginabile, che possa essere accolta, al posto dell’anestesia della rappresentazione televisiva del male. La strada della compassione, è tracciata dalle musiche composte da Roberto Conz, eseguite al pianoforte da Marco Dal Pane, nate in costante dialogo con il testo, che contribuiscono alla costruzione di un paesaggio sonoro dove note orfane, talvolta solo brevissime trafitture del silenzio, si alternano a luoghi musicali in cui poter sostare. Una storia di presenze, e spesso di assenze, che si sentono più dell’ingombrante assuefazione all’orrore quotidiano.Al pianoforte Marco Dal PaneMusiche originali di Roberto Conz  data:    24/06/2015    orario:    21.30    costo:    ingresso € 7,00gratuito under 21    luogo:    San Michele all’Adige, Museo degli Usi e Costumi della Gente Trentina  www.solstiziodestate.it";;24/06/2015;;21.30;24.6.2015;"S. Michele all'Adige , museo ";;;;;;;;Manifestazione;;;;;;;
