remoteId;published;modified;Titolo;"Eventuale sottotitolo";"Tipo di evento";"Identificativo dell'evento";"Date ed orari dell'evento";"Descrizione breve";Argomenti;"Descrizione completa";"Galleria immagini";Video;"Iniziativa di cui fa parte";Destinatari;"Informazioni sui destinatari";"Luogo dell'evento";lat;lon;address;"Presenti all'evento";"E' gratuito";"Informazioni sui costi";Offerta;Locandina;Allegati;"Punti di contatto";Contatti;"Ulteriori informazioni";Organizzatori;"Informazioni sugli organizzatori";Patrocinio;Sponsor;"Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento";"Chi presenta";"Servizio di traduzione curato da";"Lingue usate all'evento";"Numero massimo di posti";"Tempo di lettura";"Parole chiave";"Valutazione dell'evento";Appuntamenti;Recensione;"Indicato per"
68bb05ed8bf27ca89da7002920328420;2024-04-03T14:13:38+02:00;2024-04-03T14:13:38+02:00;"Giocando tra i libri";;Laboratorio;;;"Gruppo di lettura con giochi da tavolo.";"Istruzione
Biblioteca";"Tra le le pagine dei libri si nascondono incredibili avventure.Assieme tracceremo nuove rotte su tabelloni, gioiremo per tiri di dadi e trasformeremo ogni lettura in un gioco.Il nostro gruppo di lettura con giochi da tavolo vi porterà in avventure senza confini.Assieme ad Alessandro partiremo in un viaggio composto da splendide letture e giochi intramontabili.Ogni mese un libro e un gioco diverso, fusi assieme per formare una grande avventura.Cosa state aspettando? Venite in Biblioteca!";"Giochi da tavolo";;;Giovani;"Per ragazzi e ragazze dagli 11 ai 14 anni";"Biblioteca Civica Riva del Garda";;;;;;;;"Contatti Biblioteca Civica di Riva del Garda";;;;;;;;;;;0;2;;;;;
5759185aab763a83d1141f6b6ae1426c;2024-04-03T15:17:30+02:00;2024-04-03T15:18:03+02:00;"Giochi in giro in Biblioteca";;Laboratorio;;;"Giochi da tavolo in biblioteca con giochi in giro";"Istruzione
Biblioteca";"Ritornano in biblioteca, dopo il successo dell'anno scorso, i sabati di giochi in Biblioteca con Giochi in giro!Si tratta di due appuntamenti con Roberta Folgheraiter di Giochi in giro che si terranno:


sabato 6 aprile

sabato 4 maggio


 ";"Giochi da tavolo";;;Bambini,Famiglie,Giovani;;"Biblioteca Civica Riva del Garda";;;;"Entrata libera e gratuita";;;;"Contatti Biblioteca Civica di Riva del Garda";;;;;;;;;;;0;2;;;;;
8410d79f0abe5bfce2eea46d0c256162;2024-04-03T15:17:19+02:00;2024-04-03T15:17:19+02:00;"Giochi in giro in Biblioteca";;Laboratorio;;;"Giochi da tavolo in biblioteca con giochi in giro";"Istruzione
Biblioteca";"Ritornano in biblioteca, dopo il successo dell'anno scorso, i sabati di giochi in Biblioteca con Giochi in giro!Si tratta di due appuntamenti con Roberta Folgheraiter di Giochi in giro che si terranno:


sabato 6 aprile

sabato 4 maggio


 ";"Giochi da tavolo";;;Bambini,Famiglie,Giovani;;"Biblioteca Civica Riva del Garda";;;;"Entrata libera e gratuita";;;;"Contatti Biblioteca Civica di Riva del Garda";;;;;;;;;;;0;2;;;;;
b8b4cc53c09ce55f747b95098d8bac75;2024-06-03T10:28:50+02:00;2024-06-12T16:16:44+02:00;"Festival Intermittenze. Letteratura Musica. 2024";;"Festival,Evento culturale";;;"L'evento, giunto alla sesta edizione, vedrà l'alternarsi di letteratura e musica in un programma ricco e articolato in cui grandi nomi del panorama nazionale saranno impegnati in dialoghi e confronti, reading e narrazioni, spesso creati per l’occasione.";"Istruzione
Biblioteca
Tempo libero
Patrimonio culturale";"Il Festival di letteratura e musica “Intermittenze” è un’iniziativa di grande potenziale che ha ottenuto evidente successo e riscontro di pubblico nelle precedenti edizioni. Questo evento culturale/letterario si afferma come una proposta di richiamo nazionale, godendo di ampio riconoscimento sia negli uffici stampa delle maggiori case editrici che nelle agenzie che rappresentano artisti di vario genere, tra cui musicisti, attori e narratori.La sesta edizione del Festival, che prenderà vita in diversi punti del centro storico di Riva del Garda, avrà inizio giovedì 12 settembre e proseguirà fino a domenica 15 settembre. Tuttavia, già a partire da sabato 7 settembre, avranno inizio vari eventi di apertura del festival in collaborazione con numerosi soggetti culturali operanti sul territorio dell’Alto Garda.L’organizzazione del Festival è a cura del Comune di Riva del Garda, con il coinvolgimento dei servizi della Biblioteca civica e dell’Ufficio Attività culturali. La direzione artistica, come negli anni precedenti, è affidata all’Associazione Rapsodia LibriEventi di Cattolica (RN).Sito ufficiale del festival";"Evento Intermittenze 2024";;;Adulti,Anziani,Famiglie,Giovani;;"Centro storico del Comune di Riva del Garda";;;;"La partecipazione è libera e gratuita fino a esaurimento posti disponibili dei singoli eventi.";;;;"Contatti Festival Intermittenze";;;"Ufficio Biblioteca, Attività Culturali e Archivio Storico ";;;;;;;Italiano;0;2;letteratura,musica,libri,autori,poesia;;;;
30a94a60636ddfd388ac6f6d8f13923b;2024-02-09T16:09:15+01:00;2024-08-07T15:09:25+02:00;"Mercato contadino";;"Marcato / Mercatino";;;"Mercato contadino nato per favorire il contatto diretto tra produttore e consumatore, incentivare il consumo dei prodotti di stagione e per far conoscere le aziende agricole del territorio.";"Economia
Commercio al minuto
Commercio ambulante
Mercato";"Ogni venerdì mattina in via Roma si riuniscono le bancarelle di produttori locali per offrire ai cittadini prodotti trentini. Il mercato, composto da n. 17 banchi ed è organizzato da Coldiretti, nell'ambito dell'iniziativa Campagna amica.";"Mercato contadino";;;Adulti,Anziani,Bambini,Famiglie,Giovani;;"Viale Roma";;;;;;;;"Contatti Ufficio Attività  Economiche, Sport, Turismo e Manifestazioni ";;;;;;;;;;;0;2;;;;;
0a83a2a17058a67a7212e6777ad1a415;2024-04-03T14:24:47+02:00;2024-09-27T09:01:36+02:00;"Corso e club degli scacchi";;Corso;;;"Impara a giocare a scacchi in biblioteca!Da martedì 9 aprile 2024 in Biblioteca";"Istruzione
Biblioteca";"Ritorna, dopo il successo dello scorso anno, il corso di scacchi in Biblioteca per tutte le età e livelli con le lezioni del Maestro Marco Rigo e di Nicola Rigo. Storia degli ScacchiLe origini degli scacchi non sono del tutto chiare, ma la maggior parte degli storici ritiene che gli scacchi rappresentino un'evoluzione a partire da giochi simili, diffusi in India quasi duemila anni fa. Anche se nessuno può affermare di sapere il numero esatto dei giocatori di scacchi, è evidente che gli scacchi sono uno dei giochi più diffusi al mondo, sia oggi che nel passato. Pare che circa 600 milioni di persone siano nel mondo siano i giocatori di scacchi.Vuoi far parte di questo importante numero? Vieni in Biblioteca!";Scacchi;;;Adulti,Bambini,Famiglie,Anziani,Giovani;;"Biblioteca civica Riva del Garda";0;0;;;;"Entrata gratuita su prenotazione";;;;"Contatti Biblioteca Civica di Riva del Garda";;;;;;;;;;;0;2;;;;;
44714b5cadb18be1eba5a238f322e26c;2024-10-09T11:29:12+02:00;2024-10-09T11:29:12+02:00;"Stagione Teatrale 24/25";;"Evento culturale";;;"Parte la stagione teatrale 2024 con il primo spettacolo";"Tempo libero
Patrimonio culturale";"Si parte con la nuova stagione teatrale.";"Stagione Teatrale 2024-2025";;;Adulti,Giovani,Famiglie,Anziani;;"Centro storico del Comune di Riva del Garda";0;0;;;;"Le modalità di accesso sono consultabili nel volantino";;;;"Contatti Ufficio Biblioteca, Attività Culturali e Archivio Storico";;;;;;;;;;;0;2;;;;;
2405bd423429647246fbd23f261aa4e3;2024-11-06T16:59:13+01:00;2024-11-06T16:59:13+01:00;"In biblioteca pratiche di ben-essere tra yoga e lettura";;"Evento culturale,Evento sociale";;;"Da venerdì 8 a venerdì 22 novembre la biblioteca civica di Riva del Garda propone «Il mio corpo è la mia casa: pratiche di ben-essere tra yoga e lettura».";"Ambiente
Istruzione
Questioni sociali
Tempo libero";"Tre incontri con Stefania Santoni e Beatrice Monticelli dedicati allo yoga, la cui pratica è un atto di cura verso il corpo e l’anima, un modo per tessere un legame profondo con se stessi in cui ogni respiro diventa una poesia, ogni movimento un passo verso l'armonia, permettendo di unire il sapere con il benessere, offrendo così un’esperienza unica e rigenerante.Gli incontri si tengono dalle 18 alle 20, al termine di ogni appuntamento ci sarà una meditazione guidata dedicata a ogni specifico chakra protagonista: dalle radici al cuore per poi approdare al terzo occhio. Sarà fornita una bibliografia mirata per ogni singolo incontro.Gli appuntamenti:
venerdì 8 novembreIo sento: prima c’erano le emozioni
venerdì 15 novembreIo amo: il coraggio di stare in relazione
venerdì 22 novembreIo vedo: superare le apparenze e aprire il proprio sguardoLa partecipazione è gratuita, è richiesta la prenotazione e di portare un tappetino per praticare a terra.";;;;Adulti,Anziani,Bambini,Famiglie,Giovani;;"Biblioteca civica Riva del Garda";0;0;;;;"
La partecipazione è gratuita, è richiesta la prenotazione e di portare un tappetino per praticare a terra.Per informazioni e prenotazioni: 0464 573806, 348 5252486, biblioteca@comune.rivadelgarda.tn.it";;;;;"Per informazioni e prenotazioni: 0464 573806, 348 5252486, biblioteca@comune.rivadelgarda.tn.it";;;"Biblioteca civica di Riva del Garda, piazza Garibaldi, 5, 38066 Riva del Garda, TN";;;;;;;0;2;;;;;
30c861b747dc43468b12328832c309e0;2024-11-06T16:42:57+01:00;2024-11-06T16:42:57+01:00;"Nero argento + Little Jaffna";;"Evento culturale";;;"Due pellicole che hanno concorso alla Settimana internazionale della critica di Venezia: «Nero argento» (Italia, 2024, durata 20 minuti) e «Little Jaffna» (Francia, 2024, durata 100 minuti).";"Questioni sociali
Immigrazione
Integrazione sociale
Politica della gioventù
Politica familiare
Protezione delle minoranze";"È la proposta della rassegna «Il piacere del cinema» per giovedì 7 novembre. L’ingresso costa 7 euro l’intero e 5 euro il ridotto (over 65, minori di 14 anni, studenti fino a 25 anni). La biglietteria apre mezz’ora prima della proiezione. La proiezione è nella sala cinema della Comunità Alto Garda e Ledro in via Rosmini a Riva del Garda con inizio alle 21.La Settimana internazionale della critica (Sic) è una sezione autonoma e parallela organizzata dal Sindacato nazionale dei critici cinematografici italiani (Sncci) nell’ambito della Mostra internazionale d’arte cinematografica della Biennale di Venezia, la cui selezione è composta da sette opere prime in concorso e due eventi speciali fuori concorso.
Nero ArgentoRegia di Francesco Manzato, con Lucas Rivero, Federico Arienti, Letizia Mannella, Giovanni Accordino.Lucas, Letizia, Giovanni e Federico sono un gruppo di amici graffitari che trascorrono le loro giornate nel loro rifugio, nascosto ai margini di un bosco lungo le rotaie della ferrovia. È un luogo che li protegge e che solo loro conoscono, ma comunque Lucas è inquieto. Nella foresta si nasconde qualcosa di minaccioso che, a quanto pare, solo lui riesce a percepire.
Little JaffnaRegia di Lawrence Valin.Il quartiere parigino di Little Jaffna è il cuore pulsante di una vivace comunità Tamil, dove Michael, un giovane agente di polizia, viene incaricato di infiltrarsi in un gruppo criminale noto per le estorsioni e il riciclaggio di denaro a beneficio dei ribelli separatisti dello Sri-Lanka. Tuttavia, facendosi strada nel cuore dell’organizzazione, la sua lealtà sarà messa a dura prova, in una caccia senza quartiere a una delle gang meno conosciute e più potenti della capitale.
La rassegnaLa rassegna cinematografica intercomunale è organizzata dalla Comunità di valle Alto Garda e Ledro e dai Comuni di Arco, Drena, Ledro, Nago-Torbole, Riva del Garda e Tenno, per la direzione artistica del Coordinamento teatrale trentino.► https://www.trentinospettacoli.it/tag_eventi/riva-del-garda/cinema-riva-del-garda ";;;;Adulti,Anziani,Bambini,Famiglie,Giovani;;;45.890194;10.840497;"Via Ardaro 38066 Riva del Garda";;;"L’ingresso costa 7 euro l’intero e 5 euro il ridotto (over 65, minori di 14 anni, studenti fino a 25 anni). La biglietteria apre mezz’ora prima della proiezione. ";;;;;"
Coordinamento teatrale trentino
Via Brennero 139/41, 38121 Trento
+39 0461 420788https://www.trentinospettacoli.it/tag_eventi/riva-del-garda/cinema-riva-del-garda ";;;"La rassegna cinematografica intercomunale è organizzata dalla Comunità di valle Alto Garda e Ledro e dai Comuni di Arco, Drena, Ledro, Nago-Torbole, Riva del Garda e Tenno, per la direzione artistica del Coordinamento teatrale trentino.";;;;;;;0;2;;;;;
0d99747f3cc76707e19d891cb4a23d6e;2024-11-06T16:51:07+01:00;2024-11-06T16:51:07+01:00;"Gardumo 77.78-17.18";;"Evento culturale";;;"È allestita alla galleria civica Craffonara dal 10 al 20 novembre (con inaugurazione sabato 9 alle 17) la mostra fotografica «Gardumo 77.78-17.18».";Ambiente;"Il geografo triestino Alessandro Cucagna (1917-1987) effettuò, fra il novembre del 1977 e il novembre dell’anno successivo, alcune escursioni in valle di Gresta, durante le quali annotò degli appunti che successivamente rielaborò in uno scritto più organico. Nei due scritti, raccolti da Gianmario Baldi ed editi a cura del Museo Civico di Rovereto nel documento «La valle di Gresta descritta da Alessandro Cucagna (1915-1985)», traspare la passione del geografo abituato a leggere e a ricostruire il paesaggio avvalendosi non solo della conoscenza diretta ma anche delle testimonianze raccolte da persone del luogo, dalle antiche carte geografiche, di cui era uno dei massimi conoscitori, e infine dalla letteratura. Le note scritte da Alessandro Cucagna testimoniano il suo interesse per il paesaggio in tutte le sue componenti dalla geologia alla vegetazione spontanea, nonché al lavoro umano che ha modificato e modellato il territorio sulla base delle esigenze dell’agricoltura di montagna. Nel descrivere il paesaggio agrario il geografo è attento a cogliere alcune contraddizioni sintomo della crisi che all’epoca colpiva non solo la valle di Gresta, ma anche tutte le aree montane che in molti consideravano “minori”.«Nell’estate del 2017 -spiega Guido Benedetti, ingegnere moriano che si occupa di urbanistica e paesaggio, e fotografo di paesaggio e di territorio- ho riletto i suoi scritti e, forse proprio per il suo particolare modo di descrivere il territorio, sono stato trasportato dalle sue parole, e dalle “immagini” che via via si materializzavano nella mia mente, a spasso per la valle di ieri e di oggi. Ho così “(ri)scoperto” la val di Gresta: una valle che, pur frequentata fin da bambino, non conoscevo e non avevo mai osservato con attenzione forse perché, inconsciamente, la consideravo anch’io un territorio “minore”. È così che mi sono ritrovato, a quarant’anni di distanza (da novembre 2017 ad aprile 2018) e quasi inconsapevolmente, sulle strade e sui luoghi già descritti da Cucagna, alla ricerca delle emozioni che la lettura dei suoi appunti mi aveva suscitato. Ho così cercato di cogliere alcuni particolari del territorio in grado di rendere tangibili e visibili tali emozioni e suggestioni. È nata così questa ricerca sul territorio della val di Gresta, impostata per sottolineare e valorizzare l’intero ambito della valle, suddiviso in due comuni, Mori e Ronzo-Chienis, ma qui considerato con una prospettiva di interpretazione unitaria. L’indagine è costituita da 40 immagini a colori, stampate con tecnica fineart, che sono raccolte in un libro che propone, in accompagnamento, alcuni testi tratti dall’originario lavoro di Alessandro Cucagna».L’inaugurazione della mostra «Gardumo 77.78-17.18. Un racconto in 40 immagini a 40 anni dagli scritti di Alessandro Cucagna», organizzata dall’associazione Il fotogramma in collaborazione con il Comune di Riva del Garda e il patrocinio della Comunità della Vallagaria e dei Comuni di Mori e di Ronzo-Chienis, è sabato 9 novembre con inizio alle 17.La mostra è poi aperta alla visita tutti i giorni dalle 9 alle 19 con ingresso libero.";;;;Adulti,Anziani,Famiglie,Giovani;;;45.884246;10.843513;"Sala civica Craffonara,  Viale della Liberazione 38066 Riva del Garda";;;;;;;;"


info@ilfotogramma.org

segreteria@ilfotogramma.org 


";;;"Associazione &quot;Il fotogramma&quot;, piazza Antonio Gazzoletti, 38069 Nago-Torbole, TN";;;;;;;0;2;;;;;
